"station","Y","stationName","Z","wgsX","wgsY","TM2X","TM2Y","averageT_Diff","averageT_value","maxT_Diff","maxT_value","Precip_Diff","Precip_value"
467550,2014,"玉山",3844.8,120.9595,23.4876,245863.32,2598278.77,0.538663594470046,4.85606374807988,1.64430107526882,9.57096774193548,-1385.7,2149.4
467550,2015,"玉山",3844.8,120.9595,23.4876,245863.32,2598278.77,0.0763466461853559,4.93241039426523,-0.714301075268816,8.85666666666667,168,2317.4
467550,2016,"玉山",3844.8,120.9595,23.4876,245863.32,2598278.77,-0.176536583858608,4.75587381040662,0.13043010752688,8.98709677419355,946.9,3264.3
467550,2017,"玉山",3844.8,120.9595,23.4876,245863.32,2598278.77,0.334571786111552,5.09044559651818,0.696236559139786,9.68333333333333,-622.8,2641.5
467590,2013,"恆春",22.1,120.7463,22.0039,223805.68,2434010.65,NA,25.568236047107,NA,29.13,NA,2098.1
467590,2014,"恆春",22.1,120.7463,22.0039,223805.68,2434010.65,0.00675755248336074,25.5749935995904,0.802258064516131,29.9322580645161,-609.1,1489
467590,2015,"恆春",22.1,120.7463,22.0039,223805.68,2434010.65,0.533980414746544,26.1089740143369,0.304408602150538,30.2366666666667,-8.90000000000009,1480.1
467590,2016,"恆春",22.1,120.7463,22.0039,223805.68,2434010.65,0.229121709306636,26.3380957236436,-0.256021505376346,29.9806451612903,1243.7,2723.8
467590,2017,"恆春",22.1,120.7463,22.0039,223805.68,2434010.65,-0.0521625439200513,26.2859331797235,-0.163978494623656,29.8166666666667,-1003.8,1720
467660,2013,"臺東",9,121.1546,22.7522,265877.2,2516852.23,NA,24.8302105734767,NA,29.0903225806452,NA,1867.8
467660,2014,"臺東",9,121.1546,22.7522,265877.2,2516852.23,-0.0703507424475163,24.7598598310292,1.29677419354839,30.3870967741935,-673.6,1194.2
467660,2015,"臺東",9,121.1546,22.7522,265877.2,2516852.23,0.191248719918075,24.9511085509473,-0.663763440860215,29.7233333333333,28.5999999999999,1222.8
467660,2016,"臺東",9,121.1546,22.7522,265877.2,2516852.23,0.118667434715821,25.0697759856631,0.360537634408605,30.0838709677419,1629.7,2852.5
467660,2017,"臺東",9,121.1546,22.7522,265877.2,2516852.23,-0.11166986687148,24.9581061187916,-0.454838709677421,29.6290322580645,-882.5,1970
